CA2011A_AGE,CA2011A_HRSWK,CA2011A_TRANWORK,CA2011A_SEX,CA2011A_INCTOT,CA2011A_TENURE,CA2011A_ABIDENT,CA2011A_WKFULL,CA2011A_BPLPOP,CA2011A_MINORITY,CA2011A_EMPSTAT,CA2011A_CITIZEN,CA2011A_WKSWORK,URBAN,CA2011A_BPLMOM,OCCISCO,CA2011A_IND,CA2011A_DEGREE,CA2011A_RELATE,CA2011A_LANG,CA2011A_CLASSWK,CA2011A_MARST,CA2011A_YRIMM,CA2011A_RELIG,CA2011A_BPL
CA2011A_AGE,CA2011A_INCTOT,CA2011A_DEGREE,CA2011A_RELATE,CA2011A_BPLMOM,CA2011A_ABIDENT,CA2011A_IND,CA2011A_YRIMM,CA2011A_SEX,CA2011A_LANG,CA2011A_TRANWORK,CA2011A_WKSWORK,CA2011A_MARST,CA2011A_MINORITY,CA2011A_HRSWK,CA2011A_CITIZEN,URBAN,OCCISCO,CA2011A_BPLPOP,CA2011A_EMPSTAT,CA2011A_CLASSWK,CA2011A_WKFULL,CA2011A_TENURE,CA2011A_RELIG,CA2011A_BPL
CA2011A_AGE,CA2011A_WKSWORK,CA2011A_TRANWORK,OCCISCO,CA2011A_HRSWK,CA2011A_MINORITY,CA2011A_SEX,CA2011A_INCTOT,CA2011A_MARST,URBAN,CA2011A_YRIMM,CA2011A_EMPSTAT,CA2011A_RELIG,CA2011A_CLASSWK,CA2011A_WKFULL,CA2011A_ABIDENT,CA2011A_BPLMOM,CA2011A_RELATE,CA2011A_LANG,CA2011A_BPLPOP,CA2011A_TENURE,CA2011A_IND,CA2011A_CITIZEN,CA2011A_DEGREE,CA2011A_BPL
CA2011A_AGE,CA2011A_ABIDENT,CA2011A_HRSWK,CA2011A_LANG,CA2011A_TENURE,CA2011A_MINORITY,CA2011A_WKFULL,CA2011A_MARST,CA2011A_RELIG,CA2011A_INCTOT,CA2011A_CLASSWK,CA2011A_BPLPOP,CA2011A_YRIMM,CA2011A_WKSWORK,CA2011A_BPLMOM,CA2011A_TRANWORK,CA2011A_CITIZEN,CA2011A_EMPSTAT,URBAN,OCCISCO,CA2011A_SEX,CA2011A_IND,CA2011A_DEGREE,CA2011A_RELATE,CA2011A_BPL
CA2011A_AGE,CA2011A_SEX,CA2011A_RELATE,CA2011A_CLASSWK,CA2011A_RELIG,CA2011A_DEGREE,CA2011A_YRIMM,CA2011A_INCTOT,CA2011A_IND,OCCISCO,CA2011A_MINORITY,CA2011A_EMPSTAT,CA2011A_ABIDENT,CA2011A_CITIZEN,CA2011A_MARST,CA2011A_LANG,CA2011A_WKFULL,CA2011A_TENURE,CA2011A_HRSWK,URBAN,CA2011A_TRANWORK,CA2011A_BPLMOM,CA2011A_WKSWORK,CA2011A_BPLPOP,CA2011A_BPL
CA2011A_AGE,CA2011A_TENURE,CA2011A_RELATE,CA2011A_LANG,CA2011A_BPLPOP,CA2011A_WKFULL,CA2011A_TRANWORK,CA2011A_ABIDENT,CA2011A_BPLMOM,CA2011A_DEGREE,URBAN,CA2011A_WKSWORK,CA2011A_IND,CA2011A_EMPSTAT,CA2011A_YRIMM,CA2011A_INCTOT,CA2011A_SEX,CA2011A_MARST,CA2011A_CITIZEN,CA2011A_HRSWK,CA2011A_MINORITY,CA2011A_CLASSWK,OCCISCO,CA2011A_RELIG,CA2011A_BPL
CA2011A_AGE,URBAN,CA2011A_CLASSWK,CA2011A_CITIZEN,CA2011A_DEGREE,CA2011A_WKSWORK,CA2011A_EMPSTAT,CA2011A_ABIDENT,CA2011A_MINORITY,CA2011A_TENURE,CA2011A_INCTOT,CA2011A_MARST,CA2011A_BPLMOM,OCCISCO,CA2011A_RELIG,CA2011A_BPLPOP,CA2011A_RELATE,CA2011A_IND,CA2011A_SEX,CA2011A_YRIMM,CA2011A_TRANWORK,CA2011A_HRSWK,CA2011A_WKFULL,CA2011A_LANG,CA2011A_BPL
CA2011A_AGE,CA2011A_WKFULL,CA2011A_INCTOT,CA2011A_LANG,CA2011A_MINORITY,CA2011A_TENURE,CA2011A_YRIMM,CA2011A_RELIG,CA2011A_MARST,CA2011A_ABIDENT,CA2011A_SEX,CA2011A_HRSWK,CA2011A_DEGREE,CA2011A_BPLMOM,CA2011A_BPLPOP,CA2011A_IND,URBAN,CA2011A_RELATE,CA2011A_CLASSWK,CA2011A_CITIZEN,CA2011A_WKSWORK,OCCISCO,CA2011A_EMPSTAT,CA2011A_TRANWORK,CA2011A_BPL
CA2011A_AGE,CA2011A_BPLMOM,CA2011A_SEX,CA2011A_WKFULL,CA2011A_INCTOT,CA2011A_DEGREE,CA2011A_RELATE,CA2011A_MARST,CA2011A_CITIZEN,CA2011A_RELIG,OCCISCO,CA2011A_CLASSWK,URBAN,CA2011A_YRIMM,CA2011A_BPLPOP,CA2011A_TRANWORK,CA2011A_LANG,CA2011A_MINORITY,CA2011A_EMPSTAT,CA2011A_WKSWORK,CA2011A_HRSWK,CA2011A_TENURE,CA2011A_IND,CA2011A_ABIDENT,CA2011A_BPL
CA2011A_AGE,CA2011A_BPLPOP,CA2011A_LANG,CA2011A_MINORITY,CA2011A_BPLMOM,CA2011A_YRIMM,CA2011A_ABIDENT,CA2011A_RELATE,CA2011A_CLASSWK,CA2011A_SEX,URBAN,CA2011A_RELIG,CA2011A_DEGREE,CA2011A_EMPSTAT,CA2011A_HRSWK,CA2011A_MARST,CA2011A_IND,CA2011A_WKSWORK,CA2011A_CITIZEN,CA2011A_TENURE,OCCISCO,CA2011A_WKFULL,CA2011A_INCTOT,CA2011A_TRANWORK,CA2011A_BPL
